word, 平仮名, hiragana, english, chinese
売り場, うりば, uriba, Sales floor, 销售区
入り口, いりぐち, iriguchi, Entrance, 入口
出口, でぐち, deguchi, Exit, 出口
事務所, じむしょ, jimusho, Office, 办公室
喫茶店, きっさてん, kissaten, Coffee shop, 咖啡店
受付, うけつけ, uketsuke, Reception, 接待处
バーゲン会場, バーゲンかいじょう, baagen kaijou, Bargain venue, 特卖会场
服, ふく, fuku, Clothing, 
国, くに, kuni, Country, 国家
地図, ちず, chizu, Map, 地图
隣, となり, tonari, Next to, 旁边
周辺, しゅうへん, shuuhen, Surroundings, 周围
今日, きょう, kyou, Today, 今天
明日, あした, ashita, Tomorrow, 明天
朝って, あさって, asatte, Day after tomorrow, 后天
昨日, きのう, kinou, Yesterday, 昨天
一昨日, おととい, ototoi, Day before yesterday, 前天
月曜日, げつようび, getsuyoubi, Monday, 星期一
火曜日, かようび, kayoubi, Tuesday, 星期二
水曜日, すいようび, suiyoubi, Wednesday, 星期三
木曜日, もくようび, mokuyoubi, Thursday, 星期四
金曜日, きんようび, kinyoubi, Friday, 星期五
土曜日, どようび, doyoubi, Saturday, 星期六
日曜日, にちようび, nichiyoubi, Sunday, 星期日
部屋, へや, heya, Room, 房间
庭, にわ, niwa, Garden, 花园
家, いえ, ie, House, 
居間, いま, ima, Living room, 客厅
冷蔵庫, れいぞうこ, reizouko, Refrigerator, 冰箱
壁, かべ, kabe, Wall, 墙
本棚, ほんだな, hondana, Bookshelf, 书架
猫, ねこ, neko, Cat, 猫
犬, いぬ, inu, Dog, 狗
鳥, とり, tori, Bird, 鸟
魚, さかな, sakana, Fish, 鱼
箱, はこ, hako, Box, 盒子
眼鏡, めがね, megane, Glasses, 眼镜
子供, こども, kodomo, Child, 孩子
兄弟, きょうだい, kyoudai, Siblings, 兄弟姐妹
両親, りょうしん, ryoushin, Parents, 父母
男, おとこ, otoko,,
女, おんな, onna,,
生徒, せいと, seito, Student, 学生
上, うえ, ue, Up, 上
下, した, shita, Down, 下
左, ひだり, hidari, Left, 左
右, みぎ, migi, Right, 右
中, なか, naka, Middle, 中
外, そと, soto, Outside, 外
前, まえ, mae, Front, 前
後ろ, うしろ, ushiro, Back, 后面
横, よこ, yoko, Side, 旁边
御飯, ごはん, gohan, Rice, 米饭
教室, きょうしつ, kyoushitsu, Classroom, 教室
売店, ばいてん, baiten, Shop, 小卖部
先週, せんしゅう, senshuu, Last week, 上周
今週, こんしゅう, konshuu, This week, 本周
来週, らいしゅう, raishuu, Next week, 下周
再来週, さらいしゅう, sarai shuu, Week after next, 下下周
毎日, まいにち, mainichi, Every day, 每天
毎週, まいしゅう, maishuu, Every week, 每周
毎朝, まいあさ, maiasa, Every morning, 每天早上
毎晩, まいばん, maiban, Every evening, 每天晚上
午前, ごぜん, gozen, Morning, 上午
午後, ごご, gogo, Afternoon, 下午
今朝, けさ, kesa, This morning, 今天早上
来年, らいねん, rainen, Next year, 明年
去年, きょねん, kyonen, Last year, 去年
夜, よる, yoru, Night, 夜
昼, ひる, hiru, Daytime, 白天
晩御飯, ばんごはん, bangohan, Dinner, 晚饭
朝御飯, あさごはん, asagohan, Breakfast, 早餐
昼御飯, ひるごはん, hirugohan, Lunch, 午餐
おやつ, おやつ, oyatsu, Snack, 点心
学校, がっこう, gakkou, School, 学校
試験, しけん, shiken, Exam, 考试
仕事, しごと, shigoto, Work, 工作
遅刻, ちこく, chikoku, Late, 迟到
休み, やすみ, yasumi, Rest, 休息
休暇, きゅうか, kyuuka, Vacation, 假期
研修, けんしゅう, kenshuu, Training, 培训
展覧会, てんらんかい, tenrankai, Exhibition, 展览会
歓迎会, かんげいかい, kangeikai, Welcome party, 欢迎会
送別会, そうべつかい, soubetsukai, Farewell party,
お宅, おたく, otaku, Your home, 贵宅
いつ, いつ, itsu, When, 什么时候
何時, なんじ, nanji, What time, 几点
休みます, やすみます, yasumimasu, To rest, 休息
働きます, はたらきます, hatarakimasu, To work, 工作
勉強します, べんきょうします, benkyou shimasu, To study, 学习
始まります, はじまります, hajimarimasu, To begin, 开始
終わります, おわります, owarimasu, To finish, 结束
起きます, おきます, okimasu, To get up, 起床
寝ます, ねます, nemasu, To sleep, 睡觉
帰ります, かえります, kaerimasu, To return, 回家
出かけます, でかけます, dekakemasu, To go out, 出门
北京支社, ぺきんししゃ, pekin shisha,, 北京分公司
神戸, こうべ, koube, Kobe, 神户
誕生日, たんじょうび, tanjoubi, Birthday, 生日
時刻, じこく, jikoku, Time, 时间
一時, いちじ, ichiji, One o'clock, 一点
二時, にじ, niji, Two o'clock, 两点
三時, さんじ, sanji, Three o'clock, 三点
四時, よじ, yoji, Four o'clock, 四点
五時, ごじ, goji, Five o'clock, 五点
六時, ろくじ, rokuji, Six o'clock, 六点
七時, しちじ, shichiji, Seven o'clock, 七点
八時, はちじ, hachiji, Eight o'clock, 八点
九時, くじ, kuji, Nine o'clock, 九点
十時, じゅうじ, juuji, Ten o'clock, 十点
十一時, じゅういちじ, juuichiji, Eleven o'clock, 十一点
いつ分, いつぷん, itsupun, one minute, 一分
二分, にふん, nifun, Two minutes, 两分
三分, さんぷん, sanpun, Three minutes, 三分
四分, よんぷん, yonpun, Four minutes, 四分
五分, ごふん, gofun, Five minutes, 五分
六分, ろっぷん, roppun, Six minutes, 六分
七分, ななふん, nanafun, Seven minutes, 七分
八分, はっぷん, happun, Eight minutes, 八分
九分, きゅうふん, kyuufun, Nine minutes, 九分
十分, じゅっぷん, juppun, Ten minutes, 十分
十一分, じゅういっぷん, juuippun, Eleven minutes, 十一分钟
だいろっかい, だいろっかい, dairokkai, The sixth time, 第六回
来月, らいげつ, raigetsu, Next month, 下个月
先月, せんげつ, sengetsu, Last month, 上个月
夜中, よなか, yonaka, Midnight, 半夜
昨夜, ゆうべ, yuube, Last night, 昨晚
子供のひ, こどものひ, kodomo no hi, Children's Day, 儿童节
ちちのひ, ちちのひ, chichi no hi, Father's Day, 父亲节
ははのひ, ははのひ, haha no hi, Mother's Day, 母亲节
夏休み, なつやすみ, natsu yasumi, Summer vacation, 暑假
冬休み, ふゆやすみ, fuyu yasumi, Winter vacation, 寒假
春休み, はるやすみ, haru yasumi, Spring vacation, 春假
交通機関, こうつうきかん, koutsuu kikan, Transportation, 交通工具
新幹線, しんかんせん, shinkansen, Bullet train, 新干线
飛行機, ひこうき, hikouki, Airplane, 飞机
電車, でんしゃ, densha, Train, 电车
美術館, びじゅつかん, bijutsukan, Art museum, 美术馆
行きます, いきます, ikimasu, To go, 去
来ます, きます, kimasu, To come, 来
買います, かいます, kaimasu, To buy, 买
売ります, うります, urimasu, To sell, 卖
確か, たしか, tashika, If I remember correctly, 确实
なるほど, なるほど, naruhodo, I see, 原来如此
一緒に, いっしょに, isshoni, Together, 一起
北海道, ほっかいどう, hokkaidou, Hokkaido, 北海道
雪, ゆき, yuki, Snow, 雪
箱根, はこね, hakone, Hakone, 箱根
温泉, おんせん, onsen, Hot spring, 温泉
銀座, ぎんざ, ginza, Ginza, 银座
お疲れ様でした, おつかれさまでした, otsukaresama deshita, Thank you for your hard work, 辛苦了
広島, ひろしま, hiroshima, Hiroshima, 广岛
お先に失礼します, おさきにしつれいします, osaki ni shitsurei shimasu, Excuse me for leaving before you, 我先告辞了
歩いて, あるいて, aruite, On foot, 步行
大変ですね, たいへんですね, taihen desu ne, That's tough, 受够了
歳月, さいげつ, saigetsu, Months and years, 岁月
動詞, どうし, doushi, Verb, 动词
お粥, おかゆ, okayu, Rice porridge, 稀饭
昼ご飯, ひるごはん, hirugohan, Lunch, 午饭
晩ご飯, ばんごはん, bangohan, Dinner, 晚饭
牛乳, ぎゅうにゅう, gyuunyuu, Milk, 牛奶
お弁当, おべんとう, obentou, Boxed lunch, 便当
朝ご飯, あさごはん, asagohan, Breakfast, 早饭
うどん, うどん, udon, Udon noodles, 乌冬面
親子丼, おやこどん, oyakodon, Chicken and egg bowl, 鸡肉鸡蛋盖饭
卵, たまご, tamago, Egg, 鸡蛋
玉子, たまご, tamago, Egg, 鸡蛋
蕎麦屋, そばや, sobaya, Soba noodle shop, 荞麦面店
野球, やきゅう, yakyuu, Baseball, 棒球
申込書, もうしこみしょ, moushikomi sho, Application form, 申请书
手紙, てがみ, tegami, Letter, 信
音楽, おんがく, ongaku, Music, 音乐
映画, えいが, eiga, Movie, 电影
動物園, どうぶつえん, doubutsuen, Zoo, 动物园
飲みます, のみます, nomimasu, To drink, 喝
食べます, たべます, tabemasu, To eat, 吃
撮ります, とります, torimasu, To take (a photo), 拍照
会います, あいます, aimasu, To meet, 见面
泳ぎます, およぎます, oyogimasu, To swim, 游泳
手紙を書きます, てがみをかきます, tegami o kakimasu, To write a letter, 写信
新聞を読みます, しんぶんをよみます, shinbun o yomimasu, To read a newspaper, 读报纸
聞きます, ききます, kikimasu, To listen, 听
話します, はなします, hanashimasu, To speak, 说
見ます, みます, mimasu, To see, 看
します, します, shimasu, To do, 做
掃除します, そうじします, souji shimasu, To clean, 打扫
これから, これから, kore kara, From now on, 从现在起
また来ます, またきます, mata kimasu, I'll come again, 我还会再来的
日本へよくそ, にほんへようこそ, nihon e youkoso, Welcome to Japan, 欢迎来到日本
いっできます, いってきます, ittekimasu, I'm off, 我出去了
いっでらっしゃい, いってらっしゃい, itterasshai, See you later, 路上小心
ただいま, ただいま, tadaima, I'm home, 我回来了
お帰りなさい, おかえりなさい, okaerinasai, Welcome home, 欢迎回家
お邪魔します, おじゃまします, ojama shimasu, Excuse me for disturbing you, 打扰了
お邪魔しました, おじゃましました, ojama shimashita, Thank you for having me, 打扰了
午前中, ごぜんちゅう, gozenchuu, In the morning, 上午
